,Postalcode,Name,Huoneet,Keskivuokra - ARA-vuokra,Keskivuokra - Vapaarah. vanhat,Keskivuokra - Vapaarah. uudet,Kuukausivuokra - ARA-vuokra,Kuukausivuokra - Vapaarah. vanhat,Kuukausivuokra - Vapaarah. uudet,duration-w,duration-t,duration-d,duration-b
0,100,Helsinki Keskusta - Etu-Töölö,1h,20.9,25.5,27.9,577.0,721.0,778.0,1 hour 0 mins,32 mins,15 mins,20 mins
1,100,Helsinki Keskusta - Etu-Töölö,2h,17.5,18.2,20.7,933.0,913.0,966.0,1 hour 0 mins,32 mins,15 mins,20 mins
2,100,Helsinki Keskusta - Etu-Töölö,3h+,14.7,14.0,18.9,982.0,1238.0,1543.0,1 hour 0 mins,32 mins,15 mins,20 mins
3,120,Punavuori,1h,,26.2,28.9,,744.0,781.0,1 hour 12 mins,35 mins,19 mins,27 mins
4,120,Punavuori,2h,,20.7,21.8,,969.0,1023.0,1 hour 12 mins,35 mins,19 mins,27 mins
5,120,Punavuori,3h+,,14.9,16.5,,1424.0,1085.0,1 hour 12 mins,35 mins,19 mins,27 mins
6,130,Kaartinkaupunki,1h,,23.0,27.9,,677.0,722.0,1 hour 5 mins,36 mins,16 mins,20 mins
7,130,Kaartinkaupunki,2h,,18.9,,,966.0,,1 hour 5 mins,36 mins,16 mins,20 mins
8,130,Kaartinkaupunki,3h+,,20.5,,,1448.0,,1 hour 5 mins,36 mins,16 mins,20 mins
9,140,Kaivopuisto - Ullanlinna,1h,,24.1,27.5,,738.0,799.0,1 hour 19 mins,45 mins,18 mins,26 mins
10,140,Kaivopuisto - Ullanlinna,2h,,20.0,21.1,,1028.0,1033.0,1 hour 19 mins,45 mins,18 mins,26 mins
11,140,Kaivopuisto - Ullanlinna,3h+,,17.0,19.4,,1506.0,1253.0,1 hour 19 mins,45 mins,18 mins,26 mins
12,150,Eira - Hernesaari,1h,,25.9,29.1,,707.0,779.0,1 hour 21 mins,42 mins,20 mins,29 mins
13,150,Eira - Hernesaari,2h,,18.7,21.4,,905.0,955.0,1 hour 21 mins,42 mins,20 mins,29 mins
14,150,Eira - Hernesaari,3h+,,17.0,17.0,,1303.0,1145.0,1 hour 21 mins,42 mins,20 mins,29 mins
15,160,Katajanokka,1h,24.1,22.6,25.8,805.0,766.0,843.0,1 hour 12 mins,42 mins,17 mins,22 mins
16,160,Katajanokka,2h,16.2,14.2,21.5,829.0,930.0,1024.0,1 hour 12 mins,42 mins,17 mins,22 mins
17,160,Katajanokka,3h+,13.7,15.2,,1106.0,1174.0,,1 hour 12 mins,42 mins,17 mins,22 mins
18,170,Kruununhaka,1h,,23.8,28.4,,695.0,743.0,55 mins,25 mins,13 mins,16 mins
19,170,Kruununhaka,2h,,18.8,22.0,,924.0,997.0,55 mins,25 mins,13 mins,16 mins
20,170,Kruununhaka,3h+,,13.3,11.9,,1586.0,797.0,55 mins,25 mins,13 mins,16 mins
21,180,Kamppi - Ruoholahti,1h,21.2,25.0,28.2,590.0,697.0,725.0,1 hour 18 mins,36 mins,21 mins,24 mins
22,180,Kamppi - Ruoholahti,2h,16.7,18.2,20.8,870.0,909.0,1005.0,1 hour 18 mins,36 mins,21 mins,24 mins
23,180,Kamppi - Ruoholahti,3h+,14.4,14.1,14.8,1186.0,1162.0,1115.0,1 hour 18 mins,36 mins,21 mins,24 mins
24,200,Lauttasaari,1h,,24.0,25.3,,675.0,710.0,2 hours 4 mins,44 mins,27 mins,36 mins
25,200,Lauttasaari,2h,,18.1,19.8,,840.0,911.0,2 hours 4 mins,44 mins,27 mins,36 mins
26,200,Lauttasaari,3h+,,17.2,17.7,,1244.0,1175.0,2 hours 4 mins,44 mins,27 mins,36 mins
27,210,Vattuniemi,1h,,22.4,24.7,,688.0,771.0,1 hour 53 mins,58 mins,27 mins,33 mins
28,210,Vattuniemi,2h,,17.4,21.9,,878.0,1090.0,1 hour 53 mins,58 mins,27 mins,33 mins
29,210,Vattuniemi,3h+,13.8,17.6,17.8,1269.0,1330.0,1414.0,1 hour 53 mins,58 mins,27 mins,33 mins
30,220,Jätkäsaari,1h,18.5,19.9,21.0,618.0,569.0,571.0,1 hour 33 mins,42 mins,24 mins,29 mins
31,220,Jätkäsaari,2h,16.4,19.4,18.9,827.0,879.0,874.0,1 hour 33 mins,42 mins,24 mins,29 mins
32,220,Jätkäsaari,3h+,14.8,15.9,15.2,1169.0,1128.0,1085.0,1 hour 33 mins,42 mins,24 mins,29 mins
33,240,Länsi-Pasila,1h,15.9,23.8,24.1,545.0,706.0,784.0,32 mins,21 mins,12 mins,11 mins
34,240,Länsi-Pasila,2h,13.3,18.6,17.4,739.0,932.0,852.0,32 mins,21 mins,12 mins,11 mins
